gene,importance
blaSHV-33,0.14230936765670776
blaSHV-57,0.11947040259838104
ompK36_@fs_184_185_110308_256106_1,0.10939061641693115
blaSHV-133,0.09736791253089905
cirA_@del_418_419_63890_63893_0_STOP,0.0973634421825409
cirA_@del_614_615_179047_179050_1_STOP,0.09726378321647644
oqxR_@fs_117_118_47259_138590_1,0.09696052968502045
ramR_@fs_96_97_0_336402_0,0.09613001346588135
tet(M),0.08008456230163574
oqxA3,0.06783122569322586
qnrS,0.06756598502397537
gyrA_S83T,0.06524568796157837
dfrA1,0.06040862947702408
qnrB4,0.056973591446876526
blaNDM-50,0.05552554130554199
blaSHV-187,0.052823979407548904
blaSHV-14,0.05124777555465698
aac(6')-Ib3,0.05009941756725311
ompK36_@fs_164_165_775_2419_1,0.04938817024230957
fosA10,0.049235325306653976
blaKPC-3,0.04808804392814636
dfrB5,0.047151923179626465
blaSHV,0.044114451855421066
qnrB19,0.04353654757142067
blaSHV-12,0.042558297514915466
oqxA11,0.04242226481437683
blaSHV-49,0.04215061664581299
estX-3,0.03950807452201843
fosA5,0.039405904710292816
sul3,0.03827831149101257
oqxR_@fs_88_89_50201_91960_1,0.037739574909210205
ompK35_E132K,0.037135589867830276
blaCTX-M-3,0.037047822028398514
dfrA7,0.037027567625045776
oqxR_D95E,0.036922845989465714
qnrB,0.036260366439819336
ompK36_@del_130_131_116249_116252_1_STOP,0.03541123867034912
blaSHV-168,0.03488147258758545
fosA7,0.03356283903121948
dfrA14,0.032579369843006134
blaSHV-27,0.03151557967066765
aph(3'')-Ib,0.031309984624385834
aac(3)-IIe,0.0305775199085474
aac(3)-II,0.03056541085243225
oqxA10,0.030348926782608032
blaSHV-76,0.030310630798339844
dfrA50,0.0303095281124115
qnrB1,0.030170965939760208
blaCTX-M-15,0.029623068869113922
aac(6')-Ib-cr5,0.029601238667964935
qnrS1,0.029455218464136124
blaSHV-28,0.028783118352293968
blaCTX-M,0.028331300243735313
acrR_Y114F,0.028208205476403236
acrR_V165I,0.028208205476403236
blaOXA-1451,0.027676165103912354
blaLEN-16,0.02728956937789917
blaOXA-1,0.026896324008703232
blaSHV-11,0.026523804292082787
blaSHV-205,0.026262521743774414
ompK35_@fs_46_47_0_30950_0,0.025835692882537842
cirA_@fs_268_269_51844_76299_1,0.025722026824951172
sul1,0.02570733241736889
erm(B),0.02558559738099575
catA2,0.02544436790049076
nfsB_@del_93_94_61298_61301_1_STOP,0.02492666244506836
oqxR_@fs_94_95_0_41692_0,0.024891972541809082
aph(3')-IIIa,0.02486303448677063
aac(3)-IId,0.02460029162466526
aadA2,0.02430264838039875
blaOXA-10,0.02398642897605896
blaSHV-217,0.023783862590789795
blaSHV-1,0.02354835718870163
oqxA,0.023404432460665703
blaKPC-2,0.023312240839004517
qnrE1,0.02312701940536499
aadA5,0.02285417914390564
blaSHV-111,0.02256143093109131
qnrB91,0.022548794746398926
dfrA12,0.022314950823783875
dfrA17,0.021533161401748657
fosA,0.021426372230052948
gyrA_S83I,0.021385710686445236
ompK36_@fs_322_323_0_144071_0,0.02123945951461792
ompK36_@del_195_196_107149_107152_0_STOP,0.02075129747390747
aac(6')-Ib',0.02067023515701294
aac(3)-Ib,0.020477592945098877
blaCTX-M-220,0.019993484020233154
blaSHV-7,0.019868135452270508
ompK35_@fs_95_96_0_30832_0,0.019778430461883545
qnrB6,0.01974591612815857
ant(2'')-Ia,0.019320189952850342
aadA16,0.018617188557982445
blaSHV-80,0.018482625484466553
parC_S80I,0.018337242305278778
ompK35_@fs_46_47_597_31631_1,0.018041610717773438
dfrA27,0.017989778891205788
gyrA_D87A,0.017835095524787903
ompK35_@fs_46_47_90604_121683_1,0.017738163471221924
mph(A),0.01742267608642578
blaSHV-26,0.017347872257232666
mrx(A),0.016797643154859543
oqxR_V113I,0.01646493375301361
qnrB2,0.016299337148666382
blaOXA-9,0.01623125933110714
blaOXA,0.015579883009195328
ompK35_@fs_95_96_0_30837_0,0.015533626079559326
aadA1,0.015473849140107632
aph(3')-Ia,0.01541176252067089
blaNDM-7,0.015406310558319092
ompK35_@fs_299_300_0_46746_0,0.01486670970916748
ompK36_@fs_90_91_0_48704_0,0.014558494091033936
ompK35_@fs_299_300_91609_138427_1,0.014362096786499023
blaLEN-13,0.013842523097991943
aadD1,0.013609737157821655
arr-3,0.013561993837356567
mgrB_@fs_24_25_18095_169077_1,0.013516068458557129
mgrB_@fs_24_25_18146_169577_1,0.013199806213378906
erm(A),0.013175129890441895
qnrA6,0.013060986995697021
blaOKP-A-72,0.01287764310836792
gyrA_D87N,0.01287447102367878
gyrA_S83F,0.01281533669680357
arr-2,0.012397613376379013
blaOKP-A-71,0.012363910675048828
nfsB_@del_34_35_29798_29801_1_STOP,0.012193024158477783
ompK35_@fs_61_62_0_171554_0,0.011566698551177979
ompK35_@fs_61_62_138452_185857_1,0.011566698551177979
ble,0.011512168683111668
aac(6')-Ib,0.011063864454627037
blaNDM-1,0.010942889377474785
blaLEN-2,0.01066732406616211
gyrA_S83Y,0.010319757275283337
nfsB_@del_34_35_157617_157620_1_STOP,0.010231614112854004
ompK36_D135DD,0.009989058598876
ompK35_@fs_59_60_70143_117437_1,0.009859800338745117
ompK36_D135DGD,0.009693649597465992
blaTEM,0.008602716028690338
blaLAP,0.00850224494934082
msr(E),0.00824329536408186
mph(E),0.008189033716917038
catA1,0.008042742498219013
ompK35_@fs_59_60_0_232186_0,0.007739007472991943
ompK35_@fs_107_108_108908_156119_1,0.007714807987213135
ompK36_T136TDT,0.007579505443572998
blaNDM-5,0.007423189468681812
aph(3')-VI,0.007369118742644787
catB,0.007308453321456909
rmtF1,0.007303406950086355
armA,0.0070493160746991634
nfsB_@del_34_35_30192_30195_1_STOP,0.0065822601318359375
nfsB_@del_34_35_32340_32343_0_STOP,0.0065822601318359375
ompK35_@fs_59_60_221005_268299_1,0.006178081035614014
dfrA5,0.006106323562562466
ompK35_@fs_28_29_0_589_0,0.006036341190338135
cirA_@del_240_241_24418_24421_0_STOP,0.005892336368560791
ompK35_@fs_59_60_70143_181518_1,0.005713224411010742
gyrA_D87G,0.005577683448791504
ompK35_@fs_61_62_138659_186000_1,0.005227625370025635
ompK35_@fs_59_60_0_47294_0,0.004066824913024902
pmrA_G53S,0.000751197338104248
ompK35_@fs_41_42_90674_138190_1,0.0
ompK35_@fs_41_42_90674_195716_1,0.0
ompK35_@fs_61_62_68941_116274_1,0.0
ompK35_@fs_41_42_90674_128539_1,0.0
ompK35_@fs_41_42_90674_138099_1,0.0
ompK35_@fs_41_42_90674_196172_1,0.0
ompK35_@fs_61_62_68941_116562_1,0.0
ompK35_@fs_61_62_69221_116563_1,0.0
ompK35_@fs_41_42_90674_138262_1,0.0
ompK35_@fs_41_42_90674_138114_1,0.0
ompK35_@fs_41_42_90674_138188_1,0.0
ompK35_@fs_68_69_0_47250_0,0.0
ompK35_@fs_41_42_90674_148201_1,0.0
ompK35_@fs_85_86_0_30927_0,0.0
ompK35_@fs_41_42_90674_127929_1,0.0
ompK35_@fs_95_96_0_160864_0,0.0
ompK35_@fs_41_42_90673_138189_1,0.0
ompK35_@fs_41_42_90674_121769_1,0.0
ompK36_@del_124_125_129762_129765_1_STOP,0.0
ompK35_@fs_41_42_53747_184703_1,0.0
ompK35_@fs_41_42_58515_106031_1,0.0
ompK36_@del_169_170_108812_108815_0_STOP,0.0
ompK35_@fs_41_42_58515_189545_1,0.0
ompK36_@del_152_153_107295_107298_0_STOP,0.0
ompK35_@fs_41_42_5887_36920_1,0.0
ompK35_@fs_41_42_59976_107401_1,0.0
ompK36_@del_124_125_173226_173229_0_STOP,0.0
ompK35_@fs_41_42_72832_120257_1,0.0
ompK35_@fs_41_42_728_48153_1,0.0
ompK35_@fs_41_42_81345_128825_1,0.0
ompK36_@del_124_125_15270_15273_1_STOP,0.0
ompK36_@del_124_125_107765_107768_1_STOP,0.0
ompK35_@fs_95_96_0_160949_0,0.0
ompK35_W230Ter,0.0
ompK35_@fs_41_42_8558_55983_1,0.0
tet(C),0.0
ompK35_@fs_95_96_93188_254061_1,0.0
ompK35_@fs_95_96_92945_253809_1,0.0
ompK35_@fs_95_96_92922_142020_1,0.0
ompK35_@fs_95_96_89930_250803_1,0.0
ompK35_@fs_95_96_89840_250789_1,0.0
ompK35_@fs_41_42_87777_135202_1,0.0
ompK35_@fs_41_42_90664_138180_1,0.0
ompK35_@fs_41_42_90674_196244_1,0.0
ompK35_@fs_41_42_90674_121727_1,0.0
ompK35_@fs_61_62_45410_92752_1,0.0
ompK35_@fs_41_42_90711_128774_1,0.0
ompK35_@fs_61_62_420754_468096_1,0.0
ompK35_@fs_41_42_93795_141235_1,0.0
ompK35_@fs_41_42_93618_199838_1,0.0
ompK35_@fs_41_42_90680_138196_1,0.0
ompK35_@fs_41_42_93615_224571_1,0.0
ompK35_@fs_41_42_90680_196900_1,0.0
ompK35_@fs_41_42_93615_124739_1,0.0
ompK35_@fs_41_42_90680_197036_1,0.0
ompK35_@fs_41_42_93614_224570_1,0.0
ompK35_@fs_41_42_93614_199762_1,0.0
ompK35_@fs_41_42_90680_221708_1,0.0
ompK35_@fs_41_42_93614_141054_1,0.0
tet(G),0.0
ompK35_@fs_41_42_93614_124677_1,0.0
ompK35_@fs_41_42_90717_138142_1,0.0
ompK35_@fs_41_42_90711_221702_1,0.0
ompK35_@fs_41_42_90690_224227_1,0.0
ompK35_@fs_41_42_90695_138211_1,0.0
ompK35_@fs_41_42_90711_196859_1,0.0
ompK35_@fs_41_42_90711_196683_1,0.0
ompK35_@fs_41_42_90711_138227_1,0.0
ompK35_@fs_41_42_90695_221722_1,0.0
ompK35_@fs_41_42_90711_138151_1,0.0
ompK35_@fs_41_42_90711_119980_1,0.0
ompK35_@fs_41_42_90711_128576_1,0.0
ompK35_@fs_41_42_93635_141151_1,0.0
ompK36_@del_180_181_93689_93692_0_STOP,0.0
ompK35_@fs_61_62_420742_592318_1,0.0
ompK35_@fs_41_42_90679_221634_1,0.0
ompK35_@fs_61_62_250410_297752_1,0.0
ompK35_@fs_41_42_90674_196718_1,0.0
ompK35_@fs_61_62_138660_186002_1,0.0
ompK35_@fs_41_42_90711_138136_1,0.0
ompK35_@fs_41_42_90674_214501_1,0.0
ompK35_@fs_61_62_138452_185866_1,0.0
ompK35_@fs_41_42_90674_221702_1,0.0
ompK35_@fs_61_62_138452_185785_1,0.0
ompK35_@fs_61_62_0_47342_0,0.0
ompK35_@fs_61_62_0_171575_0,0.0
ompK35_@fs_41_42_90679_101298_1,0.0
ompK35_@fs_41_42_90679_121791_1,0.0
ompK35_@fs_59_60_221027_410362_1,0.0
ompK35_@fs_59_60_168501_216011_1,0.0
ompK35_@fs_59_60_0_232076_0,0.0
ompK35_@fs_41_42_90679_138119_1,0.0
ompK35_@fs_41_42_90679_138195_1,0.0
ompK35_@fs_41_42_90679_196684_1,0.0
ompK35_@fs_41_42_93801_199529_1,0.0
ompK35_@fs_41_42_93799_224824_1,0.0
ompK35_@fs_41_42_93796_224822_1,0.0
ompK35_@fs_41_42_93795_198765_1,0.0
ompK35_@fs_41_42_90679_196827_1,0.0
